Year,State,Age Group,Total ('000),Male ('000),Female ('000)
2011,Johor,0 - 4,284.4,147.4,137
2011,Johor,5 - 9,306.3,158,148.3
2011,Johor,10 - 14,318.7,165,153.8
2011,Johor,15 - 19,301.7,157.6,144.2
2011,Johor,20 - 24,330.4,180.1,150.4
2011,Johor,25 - 29,334.3,184.1,150.2
2011,Johor,30 - 34,274.9,150.8,124.1
2011,Johor,35 - 39,242.6,130.2,112.4
2011,Johor,40 - 44,221,114.6,106.4
2011,Johor,45 - 49,199,106,93
2011,Johor,50 - 54,171,88.9,82.2
2011,Johor,55 - 59,135.7,69.8,65.9
2011,Johor,60 - 64,105,54.3,50.7
2011,Johor,65 - 69,69.3,35.9,33.4
2011,Johor,70 - 74,52.4,26.6,25.7
2011,Johor,75 - 79,30.6,14.9,15.7
2011,Johor,80 - 84,18.6,8.6,10
2011,Johor,85+,14.4,6.7,7.7
2011,Kedah,0 - 4,173.5,89.1,84.4
2011,Kedah,5 - 9,180.1,92.1,88
2011,Kedah,10 - 14,210.4,109,101.4
2011,Kedah,15 - 19,204.8,105.2,99.6
2011,Kedah,20 - 24,173.8,90.3,83.4
2011,Kedah,25 - 29,150.9,79.7,71.2
2011,Kedah,30 - 34,128.5,66,62.6
2011,Kedah,35 - 39,124,61.7,62.2
2011,Kedah,40 - 44,123.9,60.5,63.5
2011,Kedah,45 - 49,117.3,58.4,58.9
2011,Kedah,50 - 54,105.9,52,53.9
2011,Kedah,55 - 59,87.6,42.9,44.7
2011,Kedah,60 - 64,67.2,33.4,33.9
2011,Kedah,65 - 69,43.8,21.1,22.8
2011,Kedah,70 - 74,37.4,17.3,20
2011,Kedah,75 - 79,21.2,9.6,11.6
2011,Kedah,80 - 84,12.8,5.4,7.4
2011,Kedah,85+,8.8,3.5,5.3
2011,Kelantan,0 - 4,172.7,89.2,83.6
2011,Kelantan,5 - 9,174.3,89.8,84.6
2011,Kelantan,10 - 14,190.8,98.2,92.6
2011,Kelantan,15 - 19,201.2,104.2,97
2011,Kelantan,20 - 24,137.7,72.2,65.5
2011,Kelantan,25 - 29,106.2,57.1,49.1
2011,Kelantan,30 - 34,90.5,46.7,43.7
2011,Kelantan,35 - 39,86.2,40.5,45.7
2011,Kelantan,40 - 44,88.3,41,47.3
2011,Kelantan,45 - 49,87.9,41.3,46.6
2011,Kelantan,50 - 54,79.6,37.5,42.1
2011,Kelantan,55 - 59,62.2,29.8,32.5
2011,Kelantan,60 - 64,50.9,25.4,25.5
2011,Kelantan,65 - 69,34.4,16,18.5
2011,Kelantan,70 - 74,24.9,11.4,13.5
2011,Kelantan,75 - 79,14,6.3,7.8
2011,Kelantan,80 - 84,9.5,4,5.5
2011,Kelantan,85+,7.5,3,4.6
2011,Melaka,0 - 4,67.6,34.3,33.3
2011,Melaka,5 - 9,72.1,36.8,35.2
2011,Melaka,10 - 14,74.8,39.2,35.6
2011,Melaka,15 - 19,92,46.1,45.9
2011,Melaka,20 - 24,84.8,43.7,41.1
2011,Melaka,25 - 29,73.1,37.5,35.6
2011,Melaka,30 - 34,56.2,28.9,27.3
2011,Melaka,35 - 39,50,25.5,24.5
2011,Melaka,40 - 44,51.2,23.7,27.5
2011,Melaka,45 - 49,49.6,24.8,24.8
2011,Melaka,50 - 54,43.8,21.8,22
2011,Melaka,55 - 59,35.6,17.6,18
2011,Melaka,60 - 64,29.6,14.2,15.4
2011,Melaka,65 - 69,19.8,9.7,10.1
2011,Melaka,70 - 74,15,7.3,7.7
2011,Melaka,75 - 79,8.7,4.1,4.6
2011,Melaka,80 - 84,5.1,2.2,2.9
2011,Melaka,85+,4.2,1.7,2.4
2011,Negeri Sembilan,0 - 4,85.3,43.9,41.4
2011,Negeri Sembilan,5 - 9,94.6,49.8,44.8
2011,Negeri Sembilan,10 - 14,96.2,50.1,46
2011,Negeri Sembilan,15 - 19,107.5,56.6,50.9
2011,Negeri Sembilan,20 - 24,110.1,58.3,51.8
2011,Negeri Sembilan,25 - 29,89.9,48.6,41.3
2011,Negeri Sembilan,30 - 34,74,39.7,34.3
2011,Negeri Sembilan,35 - 39,65.7,34.1,31.6
2011,Negeri Sembilan,40 - 44,61.4,30.3,31.1
2011,Negeri Sembilan,45 - 49,60.4,29.7,30.8
2011,Negeri Sembilan,50 - 54,57.9,28.6,29.2
2011,Negeri Sembilan,55 - 59,48.1,24.3,23.7
2011,Negeri Sembilan,60 - 64,35.4,17.9,17.5
2011,Negeri Sembilan,65 - 69,22.7,11.3,11.3
2011,Negeri Sembilan,70 - 74,17.8,8.4,9.3
2011,Negeri Sembilan,75 - 79,10.8,5.2,5.6
2011,Negeri Sembilan,80 - 84,6,2.6,3.4
2011,Negeri Sembilan,85+,3.8,1.5,2.3
2011,Pahang,0 - 4,144.9,75.5,69.4
2011,Pahang,5 - 9,148,78.2,69.8
2011,Pahang,10 - 14,153.1,79.9,73.1
2011,Pahang,15 - 19,163.2,87.1,76.2
2011,Pahang,20 - 24,143.5,80.9,62.6
2011,Pahang,25 - 29,145.3,82.1,63.2
2011,Pahang,30 - 34,108.2,61.4,46.8
2011,Pahang,35 - 39,91.1,48.6,42.5
2011,Pahang,40 - 44,84.5,43.8,40.7
2011,Pahang,45 - 49,82.2,41.7,40.5
2011,Pahang,50 - 54,75.1,37.8,37.3
2011,Pahang,55 - 59,59.6,30.4,29.2
2011,Pahang,60 - 64,49.4,25.3,24
2011,Pahang,65 - 69,30.6,16.1,14.5
2011,Pahang,70 - 74,23.3,11.8,11.5
2011,Pahang,75 - 79,12.3,6.2,6.2
2011,Pahang,80 - 84,6.9,3.1,3.7
2011,Pahang,85+,5.5,2.5,2.9
2011,Penang,0 - 4,112.1,57.4,54.7
2011,Penang,5 - 9,119.7,61.2,58.5
2011,Penang,10 - 14,126,63.4,62.6
2011,Penang,15 - 19,138.6,69.9,68.7
2011,Penang,20 - 24,152.2,73.8,78.4
2011,Penang,25 - 29,159.3,81.1,78.1
2011,Penang,30 - 34,133.6,68.4,65.1
2011,Penang,35 - 39,120.7,61.3,59.4
2011,Penang,40 - 44,111.4,55.3,56
2011,Penang,45 - 49,99.4,50.1,49.2
2011,Penang,50 - 54,88.2,44.4,43.7
2011,Penang,55 - 59,73.5,36.4,37.1
2011,Penang,60 - 64,61,30.4,30.7
2011,Penang,65 - 69,40.7,19.8,21
2011,Penang,70 - 74,30.2,14.6,15.6
2011,Penang,75 - 79,17.2,8,9.2
2011,Penang,80 - 84,10.1,4.3,5.8
2011,Penang,85+,7,2.7,4.3
2011,Perak,0 - 4,180.7,92.7,88
2011,Perak,5 - 9,215.8,108.7,107.1
2011,Perak,10 - 14,237.4,118.9,118.5
2011,Perak,15 - 19,246.1,122.5,123.6
2011,Perak,20 - 24,224.9,117.5,107.4
2011,Perak,25 - 29,170.6,91,79.6
2011,Perak,30 - 34,147.5,77.7,69.9
2011,Perak,35 - 39,139.5,71.8,67.7
2011,Perak,40 - 44,145.8,72.5,73.3
2011,Perak,45 - 49,145.4,73.2,72.2
2011,Perak,50 - 54,138.1,69.8,68.3
2011,Perak,55 - 59,119.3,59.9,59.4
2011,Perak,60 - 64,101.5,50,51.5
2011,Perak,65 - 69,69,34.4,34.6
2011,Perak,70 - 74,55.7,26.5,29.3
2011,Perak,75 - 79,35.3,16,19.3
2011,Perak,80 - 84,18.5,8.3,10.1
2011,Perak,85+,11.5,5,6.5
2011,Perlis,0 - 4,20.3,10.5,9.8
2011,Perlis,5 - 9,19.9,10.1,9.8
2011,Perlis,10 - 14,21,10.8,10.2
2011,Perlis,15 - 19,30.8,14.8,16
2011,Perlis,20 - 24,24.6,12.7,11.9
2011,Perlis,25 - 29,17.7,9.1,8.6
2011,Perlis,30 - 34,13.1,6.5,6.6
2011,Perlis,35 - 39,11.7,5.5,6.2
2011,Perlis,40 - 44,13.8,6.5,7.4
2011,Perlis,45 - 49,14,6.7,7.2
2011,Perlis,50 - 54,12.9,6.2,6.7
2011,Perlis,55 - 59,11.1,5.4,5.7
2011,Perlis,60 - 64,8.9,4.4,4.6
2011,Perlis,65 - 69,6.3,3.1,3.2
2011,Perlis,70 - 74,5,2.4,2.6
2011,Perlis,75 - 79,3,1.3,1.7
2011,Perlis,80 - 84,1.9,0.8,1.1
2011,Perlis,85+,1.3,0.5,0.8
2011,Selangor,0 - 4,473.9,244.1,229.8
2011,Selangor,5 - 9,470.5,241.1,229.5
2011,Selangor,10 - 14,441.9,225.8,216.1
2011,Selangor,15 - 19,435.6,221.3,214.3
2011,Selangor,20 - 24,635.4,323.9,311.5
2011,Selangor,25 - 29,687,362.7,324.3
2011,Selangor,30 - 34,540.7,289.5,251.2
2011,Selangor,35 - 39,446.2,236.2,210
2011,Selangor,40 - 44,371.5,194.6,176.9
2011,Selangor,45 - 49,311.7,165.8,145.9
2011,Selangor,50 - 54,249.3,132.5,116.8
2011,Selangor,55 - 59,184.3,96.8,87.5
2011,Selangor,60 - 64,144.5,71.8,72.7
2011,Selangor,65 - 69,84.3,42.4,41.9
2011,Selangor,70 - 74,57.1,28.4,28.8
2011,Selangor,75 - 79,31.8,15.2,16.6
2011,Selangor,80 - 84,19.2,8.4,10.8
2011,Selangor,85+,15.3,6.7,8.6
2011,Terengganu,0 - 4,116,59.9,56.2
2011,Terengganu,5 - 9,116.7,60.3,56.3
2011,Terengganu,10 - 14,119.7,61.5,58.3
2011,Terengganu,15 - 19,124,63.7,60.3
2011,Terengganu,20 - 24,109.5,57.1,52.4
2011,Terengganu,25 - 29,82.8,44.9,37.9
2011,Terengganu,30 - 34,65.3,34.3,31.1
2011,Terengganu,35 - 39,59.1,29.3,29.8
2011,Terengganu,40 - 44,58.4,28.4,30
2011,Terengganu,45 - 49,57.4,28.4,29
2011,Terengganu,50 - 54,50.7,25.4,25.2
2011,Terengganu,55 - 59,38.4,19.5,18.9
2011,Terengganu,60 - 64,28.8,14.9,13.9
2011,Terengganu,65 - 69,20.3,9.8,10.5
2011,Terengganu,70 - 74,15.1,7.1,8
2011,Terengganu,75 - 79,7.8,3.7,4.1
2011,Terengganu,80 - 84,4.9,2.1,2.8
2011,Terengganu,85+,4.2,1.7,2.4
2011,Sabah,0 - 4,307.3,157.4,149.9
2011,Sabah,5 - 9,311.9,160.5,151.5
2011,Sabah,10 - 14,299.9,152.7,147.3
2011,Sabah,15 - 19,406,211.9,194.1
2011,Sabah,20 - 24,397.8,203.1,194.7
2011,Sabah,25 - 29,410.3,213.9,196.3
2011,Sabah,30 - 34,278.2,149.7,128.5
2011,Sabah,35 - 39,227.5,119.6,107.9
2011,Sabah,40 - 44,190.5,100.8,89.7
2011,Sabah,45 - 49,157.3,85.3,72
2011,Sabah,50 - 54,125,68.6,56.4
2011,Sabah,55 - 59,83,45,38
2011,Sabah,60 - 64,52.5,27.7,24.8
2011,Sabah,65 - 69,39.2,20.1,19.1
2011,Sabah,70 - 74,27,13.7,13.3
2011,Sabah,75 - 79,16.5,8.2,8.2
2011,Sabah,80 - 84,9.3,4.7,4.6
2011,Sabah,85+,6.5,3.1,3.4
2011,Sarawak,0 - 4,219.9,111.5,108.4
2011,Sarawak,5 - 9,246.3,124.1,122.2
2011,Sarawak,10 - 14,246.8,125.1,121.7
2011,Sarawak,15 - 19,253.2,129.6,123.6
2011,Sarawak,20 - 24,243.8,125.5,118.3
2011,Sarawak,25 - 29,220.3,117.9,102.4
2011,Sarawak,30 - 34,174.8,92.7,82.1
2011,Sarawak,35 - 39,172,89.6,82.5
2011,Sarawak,40 - 44,161.6,85.4,76.2
2011,Sarawak,45 - 49,146.1,77.9,68.2
2011,Sarawak,50 - 54,123,65.6,57.4
2011,Sarawak,55 - 59,100.4,53.3,47.1
2011,Sarawak,60 - 64,74.9,38.8,36.2
2011,Sarawak,65 - 69,55.8,29,26.8
2011,Sarawak,70 - 74,36.6,18.3,18.3
2011,Sarawak,75 - 79,25.3,12.2,13.1
2011,Sarawak,80 - 84,15.4,6.7,8.7
2011,Sarawak,85+,11.6,5.5,6.1
2011,W.P. Kuala Lumpur,0 - 4,124.8,63.9,61
2011,W.P. Kuala Lumpur,5 - 9,127.3,65.8,61.5
2011,W.P. Kuala Lumpur,10 - 14,115.3,58.8,56.5
2011,W.P. Kuala Lumpur,15 - 19,135.9,68.6,67.3
2011,W.P. Kuala Lumpur,20 - 24,180.9,89.7,91.1
2011,W.P. Kuala Lumpur,25 - 29,197.2,99.2,98.1
2011,W.P. Kuala Lumpur,30 - 34,164.4,86.2,78.2
2011,W.P. Kuala Lumpur,35 - 39,130.3,69.6,60.7
2011,W.P. Kuala Lumpur,40 - 44,119.6,55.5,64
2011,W.P. Kuala Lumpur,45 - 49,107.9,56.9,51
2011,W.P. Kuala Lumpur,50 - 54,88.5,47.1,41.4
2011,W.P. Kuala Lumpur,55 - 59,68.1,35.7,32.5
2011,W.P. Kuala Lumpur,60 - 64,51.4,26.9,24.5
2011,W.P. Kuala Lumpur,65 - 69,33.1,16.6,16.5
2011,W.P. Kuala Lumpur,70 - 74,23.1,12.2,10.8
2011,W.P. Kuala Lumpur,75 - 79,12.6,6.3,6.3
2011,W.P. Kuala Lumpur,80 - 84,7.7,3.7,4
2011,W.P. Kuala Lumpur,85+,4.9,2.2,2.8
2011,W.P. Labuan,0 - 4,9.4,4.9,4.5
2011,W.P. Labuan,5 - 9,8.9,4.6,4.3
2011,W.P. Labuan,10 - 14,7.9,4,4
2011,W.P. Labuan,15 - 19,8.3,4,4.3
2011,W.P. Labuan,20 - 24,9,4.4,4.6
2011,W.P. Labuan,25 - 29,12.1,6.2,5.8
2011,W.P. Labuan,30 - 34,7.7,4,3.7
2011,W.P. Labuan,35 - 39,5.9,2.9,3
2011,W.P. Labuan,40 - 44,5.3,2.7,2.6
2011,W.P. Labuan,45 - 49,4.8,2.6,2.2
2011,W.P. Labuan,50 - 54,3.7,2.1,1.6
2011,W.P. Labuan,55 - 59,2.5,1.4,1.1
2011,W.P. Labuan,60 - 64,1.5,0.8,0.7
2011,W.P. Labuan,65 - 69,1,0.5,0.5
2011,W.P. Labuan,70 - 74,0.6,0.3,0.3
2011,W.P. Labuan,75 - 79,0.3,0.2,0.2
2011,W.P. Labuan,80 - 84,0.2,0.1,0.1
2011,W.P. Labuan,85+,0.2,0.1,0.1
2011,W.P. Putrajaya,0 - 4,12.8,6.6,6.2
2011,W.P. Putrajaya,5 - 9,7.4,3.6,3.7
2011,W.P. Putrajaya,10 - 14,5.4,2.7,2.7
2011,W.P. Putrajaya,15 - 19,3.6,2,1.6
2011,W.P. Putrajaya,20 - 24,6.5,2.3,4.2
2011,W.P. Putrajaya,25 - 29,14.8,5.9,9
2011,W.P. Putrajaya,30 - 34,9.9,4.7,5.2
2011,W.P. Putrajaya,35 - 39,4.9,2.6,2.3
2011,W.P. Putrajaya,40 - 44,3.3,1.5,1.8
2011,W.P. Putrajaya,45 - 49,3.1,1.7,1.5
2011,W.P. Putrajaya,50 - 54,3.1,1.5,1.5
2011,W.P. Putrajaya,55 - 59,1.6,0.8,0.7
